id,content_name,sub_content,difficulty,time_start,time_end,max_members,members,status,created_at,matching_mode,wanted_roles,party_type,final_start_time,leader_name,memo,party_date
36,카브락,[성역 길드 버스] 카브락 (입문) 운행,입문,20:00,23:59,8,"[{""job"":""댄서"",""name"":""한설"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""댄서"",""time_start"":""20:00"",""allow_repeat"":true,""character_id"":1,""combat_power"":""105743"",""character_name"":""한설""},{""job"":""화염술사"",""name"":""영겁"",""role"":""원딜"",""roles"":[""원딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""화염술사"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":3,""combat_power"":""95494"",""character_name"":""영겁""},{""job"":""검술사"",""name"":""순월"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""검술사"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":5,""combat_power"":""91009"",""character_name"":""순월""},{""job"":""장궁병"",""name"":""쌍월"",""role"":""원딜"",""roles"":[""원딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""장궁병"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":6,""combat_power"":""95128"",""character_name"":""쌍월""},{""job"":""기사"",""name"":""먀치"",""role"":""탱커"",""roles"":[""탱커""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""기사"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":7,""combat_power"":""94742"",""character_name"":""먀치""},{""job"":""도적"",""name"":""탄월"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""도적"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":9,""combat_power"":""96169"",""character_name"":""탄월""}]",종료됨,2026-09-06 09:29:26.056477+00,조합우선,[],1회 클리어,,한설,,2026-09-06
37,레이드 - 카브락,"""성역 길드 버스"" [카브락 어려움 레이드]",어려움,20:00,23:59,8,"[{""job"":""댄서"",""name"":""한설"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""23:59"",""is_driver"":true,""time_start"":""20:00"",""character_id"":1,""combat_power"":""105743"",""character_name"":""한설""},{""job"":""화염술사"",""name"":""영겁"",""role"":""원딜"",""roles"":[""원딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""화염술사"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":3,""combat_power"":""95494"",""character_name"":""영겁""},{""job"":""검술사"",""name"":""순월"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""검술사"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":5,""combat_power"":""91009"",""character_name"":""순월""},{""job"":""장궁병"",""name"":""쌍월"",""role"":""원딜"",""roles"":[""원딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""장궁병"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":6,""combat_power"":""95128"",""character_name"":""쌍월""},{""job"":""기사"",""name"":""먀치"",""role"":""탱커"",""roles"":[""탱커""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""기사"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":7,""combat_power"":""94742"",""character_name"":""먀치""},{""job"":""도적"",""name"":""탄월"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""23:59"",""account_id"":""한설"",""class_name"":""도적"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":9,""combat_power"":""96169"",""character_name"":""탄월""},{""job"":""격투가"",""name"":""뉴월"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""23:59"",""account_id"":""뉴월"",""class_name"":""격투가"",""time_start"":""20:00"",""allow_repeat"":true,""character_id"":417,""combat_power"":""98682"",""character_name"":""뉴월""},{""job"":""힐러"",""name"":""밤설"",""role"":""힐러"",""roles"":[""힐러""],""time_end"":""23:59"",""account_id"":""뉴월"",""class_name"":""힐러"",""time_start"":""20:00"",""allow_repeat"":true,""character_id"":408,""combat_power"":""90926"",""character_name"":""밤설""},{""job"":""대검전사"",""name"":""거월"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""23:59"",""account_id"":""뉴월"",""class_name"":""대검전사"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":409,""combat_power"":""92379"",""character_name"":""거월""},{""job"":""사제"",""name"":""겸설"",""role"":""힐러"",""roles"":[""힐러""],""time_end"":""23:59"",""account_id"":""뉴월"",""class_name"":""사제"",""time_start"":""20:00"",""allow_repeat"":true,""character_id"":410,""combat_power"":""91985"",""character_name"":""겸설""},{""job"":""빙결술사"",""name"":""한떨"",""role"":""탱커"",""roles"":[""탱커""],""time_end"":""23:59"",""account_id"":""뉴월"",""class_name"":""빙결술사"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":411,""combat_power"":""93059"",""character_name"":""한떨""},{""job"":""석궁사수"",""name"":""젼설"",""role"":""원딜"",""roles"":[""원딜""],""time_end"":""23:59"",""account_id"":""뉴월"",""class_name"":""석궁사수"",""time_start"":""20:00"",""allow_repeat"":false,""character_id"":412,""combat_power"":""90173"",""character_name"":""젼설""}]",종료됨,2026-09-06 10:42:03.704631+00,모집우선,"[""탱커"",""힐러"",""근딜"",""원딜""]",1회 클리어,,한설,,2026-09-06
56,어비스 3종 (통합),,매우 어려움,18:00,00:00,4,"[{""job"":""빙결술사"",""name"":""오십쇼"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""00:00"",""time_start"":""18:00"",""character_id"":424,""combat_power"":""110991"",""character_name"":""오십쇼"",""magic_resistance"":""7200""},{""job"":""장궁병"",""name"":""맛춘법"",""role"":""근딜"",""roles"":[""근딜""],""time_end"":""00:00"",""time_start"":""18:00"",""character_id"":183,""combat_power"":""101191"",""character_name"":""맛춘법"",""magic_resistance"":""4620""},{""job"":""전사"",""name"":""웰스토리젓가락도둑"",""role"":""탱커"",""roles"":[""탱커""],""time_end"":""00:00"",""time_start"":""18:00"",""character_id"":345,""combat_power"":""99861"",""character_name"":""웰스토리젓가락도둑"",""magic_resistance"":""3000""},{""job"":""마법사"",""name"":""정당지"",""role"":""딜러"",""roles"":[],""time_end"":""00:00"",""time_start"":""18:00"",""character_id"":237,""combat_power"":""82391"",""character_name"":""정당지"",""magic_resistance"":""3648""}]",매칭 완료,2026-09-07 10:34:17.809146+00,모집우선,"[""힐러""]",1회 클리어,18:00,오십쇼,,2026-09-11
66,어비스 3종 (통합),,매우 어려움,18:00,20:00,4,"[{""job"":""댄서"",""name"":""한설"",""role"":""딜러"",""roles"":[],""time_end"":""20:00"",""time_start"":""18:00"",""character_id"":1,""combat_power"":""106514"",""character_name"":""한설"",""magic_resistance"":""5872""},{""job"":""격투가"",""name"":""뉴월"",""role"":""딜러"",""roles"":[""딜러""],""time_end"":""20:00"",""time_start"":""18:00"",""character_id"":417,""combat_power"":""98682"",""character_name"":""뉴월"",""magic_resistance"":""4120""}]",종료됨,2026-09-09 01:14:56.971091+00,모집우선,[],1회 클리어,,한설,,2026-09-09
67,레이드 - 카브락,,어려움,18:00,20:00,8,"[{""job"":""댄서"",""name"":""한설"",""role"":""딜러"",""roles"":[],""time_end"":""20:00"",""time_start"":""18:00"",""character_id"":1,""combat_power"":""106514"",""character_name"":""한설"",""magic_resistance"":""5872""}]",종료됨,2026-09-09 01:16:50.936942+00,모집우선,[],1회 클리어,,한설,,2026-09-09
68,어비스 3종 (통합),,매우 어려움,18:00,20:00,4,"[{""job"":""댄서"",""name"":""한설"",""role"":""딜러"",""roles"":[],""time_end"":""20:00"",""time_start"":""18:00"",""character_id"":1,""combat_power"":""106514"",""character_name"":""한설"",""magic_resistance"":""5872""}]",종료됨,2026-09-09 08:12:32.674607+00,모집우선,[],1회 클리어,,한설,,2026-09-09
100,어비스 3종 (통합),,매우 어려움,20:00,23:30,4,"[{""job"":""힐러"",""name"":""화연"",""role"":""딜러"",""roles"":[""딜러""],""endTime"":""21:30"",""end_time"":""21:30"",""time_end"":""21:30"",""startTime"":""20:00"",""start_time"":""20:00"",""time_start"":""20:00"",""character_id"":84,""combat_power"":""101919"",""character_name"":""화연"",""magic_resistance"":""3980""},{""job"":""댄서"",""name"":""한설"",""role"":""딜러"",""roles"":[],""endTime"":""23:30"",""end_time"":""23:30"",""time_end"":""23:30"",""startTime"":""20:00"",""start_time"":""20:00"",""time_start"":""20:00"",""character_id"":1,""combat_power"":""111044"",""character_name"":""한설"",""magic_resistance"":""5872""},{""job"":""격투가"",""name"":""뉴월"",""role"":""딜러"",""roles"":[""딜러""],""endTime"":""21:00"",""end_time"":""21:00"",""time_end"":""21:00"",""startTime"":""20:30"",""start_time"":""20:30"",""time_start"":""20:30"",""character_id"":417,""combat_power"":""99023"",""character_name"":""뉴월"",""magic_resistance"":""4484""},{""job"":""기사"",""name"":""황충의딸깍"",""role"":""딜러"",""roles"":[""딜러""],""endTime"":""21:00"",""end_time"":""21:00"",""time_end"":""21:00"",""startTime"":""20:30"",""start_time"":""20:30"",""time_start"":""20:30"",""character_id"":90,""combat_power"":""85238"",""character_name"":""황충의딸깍"",""magic_resistance"":""1320""}]",종료됨,2026-09-12 11:15:40.915856+00,모집우선,[],1회 클리어,20:45,황충의딸깍,,2026-09-12
