id,reporter_name,hole_time,status,channel,created_at
59626f47-9d2f-4049-9784-1aa6d5ca76dd,한설,2026-08-16 15:10:53.675+00,pending,660,2026-08-16 04:11:55.299821+00
81e32439-1bb0-45f8-a40c-8b5f96afcf00,뉴월,2026-08-16 15:10:24.115+00,pending,660,2026-08-16 04:11:25.757232+00
844d4cd9-220c-4f25-be4d-76c5e86ef651,한설,2026-08-05 06:11:25.874+00,approved,194,2026-08-05 02:57:24.017368+00
91484a38-95aa-4a01-a807-a3af9befe37a,한설,2026-08-16 15:10:21.619+00,pending,659,2026-08-16 04:12:23.236826+00
f0984a86-56ed-4ea6-9519-04e6bfdabdb3,한설,2026-08-10 17:00:21.574+00,approved,1932,2026-08-09 08:49:07.455805+00
